wave length[nm],specCF
519.504644,1.36637E-09
519.8142415,1.36475E-09
520.123839,1.36312E-09
520.4334365,1.3615E-09
520.7430341,1.35988E-09
521.0526316,1.35827E-09
521.3622291,1.35666E-09
521.6718266,1.35505E-09
521.9814241,1.35344E-09
522.2910217,1.35183E-09
522.6006192,1.35023E-09
522.9102167,1.34864E-09
523.2198142,1.34704E-09
523.5294118,1.34545E-09
523.8390093,1.34386E-09
524.1486068,1.34227E-09
524.4582043,1.34069E-09
524.7678019,1.3391E-09
525.0773994,1.33753E-09
525.3869969,1.33595E-09
525.6965944,1.33438E-09
526.006192,1.33281E-09
526.3157895,1.33124E-09
526.625387,1.32967E-09
526.9349845,1.32811E-09
527.244582,1.32655E-09
527.5541796,1.325E-09
527.8637771,1.32344E-09
528.1733746,1.32189E-09
528.4829721,1.32034E-09
528.7925697,1.3188E-09
529.1021672,1.31725E-09
529.4117647,1.31571E-09
529.7213622,1.31418E-09
530.0309598,1.31264E-09
530.3405573,1.31111E-09
530.6501548,1.30958E-09
530.9597523,1.30805E-09
531.2693498,1.30653E-09
531.5789474,1.30501E-09
531.8885449,1.30349E-09
532.1981424,1.30197E-09
532.5077399,1.30046E-09
532.8173375,1.29895E-09
533.126935,1.29744E-09
533.4365325,1.29593E-09
533.74613,1.29443E-09
534.0557276,1.29293E-09
534.3653251,1.29143E-09
534.6749226,1.28994E-09
534.9845201,1.28845E-09
535.2941176,1.28696E-09
535.6037152,1.28547E-09
535.9133127,1.28398E-09
536.2229102,1.2825E-09
536.5325077,1.28102E-09
536.8421053,1.27954E-09
537.1517028,1.27807E-09
537.4613003,1.2766E-09
537.7708978,1.27513E-09
538.0804954,1.27366E-09
538.3900929,1.2722E-09
538.6996904,1.27074E-09
539.0092879,1.26928E-09
539.3188854,1.26782E-09
539.628483,1.26637E-09
539.9380805,1.26491E-09
540.247678,1.26346E-09
540.5572755,1.26202E-09
540.8668731,1.26057E-09
541.1764706,1.25913E-09
541.4860681,1.25769E-09
541.7956656,1.25625E-09
542.1052632,1.25482E-09
542.4148607,1.25339E-09
542.7244582,1.25196E-09
543.0340557,1.25053E-09
543.3436533,1.24911E-09
543.6532508,1.24768E-09
543.9628483,1.24626E-09
544.2724458,1.24485E-09
544.5820433,1.24343E-09
544.8916409,1.24202E-09
545.2012384,1.24061E-09
545.5108359,1.2392E-09
545.8204334,1.2378E-09
546.130031,1.23639E-09
546.4396285,1.23499E-09
546.749226,1.23359E-09
547.0588235,1.2322E-09
547.3684211,1.2308E-09
547.6780186,1.22941E-09
547.9876161,1.22803E-09
548.2972136,1.22664E-09
548.6068111,1.22525E-09
548.9164087,1.22387E-09
549.2260062,1.22249E-09
549.5356037,1.22112E-09
549.8452012,1.21974E-09
550.1547988,1.21837E-09
550.4643963,1.217E-09
550.7739938,1.21563E-09
551.0835913,1.21427E-09
551.3931889,1.2129E-09
551.7027864,1.21154E-09
552.0123839,1.21018E-09
552.3219814,1.20883E-09
552.6315789,1.20747E-09
552.9411765,1.20612E-09
553.250774,1.20477E-09
553.5603715,1.20342E-09
553.869969,1.20208E-09
554.1795666,1.20074E-09
554.4891641,1.1994E-09
554.7987616,1.19806E-09
555.1083591,1.19672E-09
555.4179567,1.19539E-09
555.7275542,1.19406E-09
556.0371517,1.19273E-09
556.3467492,1.1914E-09
556.6563467,1.19008E-09
556.9659443,1.18875E-09
557.2755418,1.18743E-09
557.5851393,1.18611E-09
557.8947368,1.1848E-09
558.2043344,1.18348E-09
558.5139319,1.18217E-09
558.8235294,1.18086E-09
559.1331269,1.17956E-09
559.4427245,1.17825E-09
559.752322,1.17695E-09
560.0619195,1.17565E-09
560.371517,1.17435E-09
560.6811146,1.17305E-09
560.9907121,1.17176E-09
561.3003096,1.17046E-09
561.6099071,1.16917E-09
561.9195046,1.16789E-09
562.2291022,1.1666E-09
562.5386997,1.16532E-09
562.8482972,1.16403E-09
563.1578947,1.16276E-09
563.4674923,1.16148E-09
563.7770898,1.1602E-09
564.0866873,1.15893E-09
564.3962848,1.15766E-09
564.7058824,1.15639E-09
565.0154799,1.15512E-09
565.3250774,1.15386E-09
565.6346749,1.15259E-09
565.9442724,1.15133E-09
566.25387,1.15008E-09
566.5634675,1.14882E-09
566.873065,1.14756E-09
567.1826625,1.14631E-09
567.4922601,1.14506E-09
567.8018576,1.14381E-09
568.1114551,1.14257E-09
568.4210526,1.14132E-09
568.7306502,1.14008E-09
569.0402477,1.13884E-09
569.3498452,1.1376E-09
569.6594427,1.13637E-09
569.9690402,1.13513E-09
570.2786378,1.1339E-09
570.5882353,1.13267E-09
570.8978328,1.13144E-09
571.2074303,1.13021E-09
571.5170279,1.12899E-09
571.8266254,1.12777E-09
572.1362229,1.12655E-09
572.4458204,1.12533E-09
572.755418,1.12411E-09
573.0650155,1.1229E-09
573.374613,1.12169E-09
573.6842105,1.12048E-09
573.993808,1.11927E-09
574.3034056,1.11806E-09
574.6130031,1.11686E-09
574.9226006,1.11566E-09
575.2321981,1.11445E-09
575.5417957,1.11326E-09
575.8513932,1.11206E-09
576.1609907,1.11086E-09
576.4705882,1.10967E-09
576.7801858,1.10848E-09
577.0897833,1.10729E-09
577.3993808,1.1061E-09
577.7089783,1.10492E-09
578.0185759,1.10374E-09
578.3281734,1.10255E-09
578.6377709,1.10137E-09
578.9473684,1.1002E-09
579.2569659,1.09902E-09
579.5665635,1.09785E-09
579.876161,1.09668E-09
580.1857585,1.09551E-09
580.495356,1.09434E-09
580.8049536,1.09317E-09
581.1145511,1.09201E-09
581.4241486,1.09084E-09
581.7337461,1.08968E-09
582.0433437,1.08852E-09
582.3529412,1.08737E-09
582.6625387,1.08621E-09
582.9721362,1.08506E-09
583.2817337,1.08391E-09
583.5913313,1.08276E-09
583.9009288,1.08161E-09
584.2105263,1.08046E-09
584.5201238,1.07932E-09
584.8297214,1.07818E-09
585.1393189,1.07704E-09
585.4489164,1.0759E-09
585.7585139,1.07476E-09
586.0681115,1.07362E-09
586.377709,1.07249E-09
586.6873065,1.07136E-09
586.996904,1.07023E-09
587.3065015,1.0691E-09
587.6160991,1.06798E-09
587.9256966,1.06685E-09
588.2352941,1.06573E-09
588.5448916,1.06461E-09
588.8544892,1.06349E-09
589.1640867,1.06237E-09
589.4736842,1.06126E-09
589.7832817,1.06014E-09
590.0928793,1.05903E-09
590.4024768,1.05792E-09
590.7120743,1.05681E-09
591.0216718,1.0557E-09
591.3312693,1.0546E-09
591.6408669,1.05349E-09
591.9504644,1.05239E-09
592.2600619,1.05129E-09
592.5696594,1.05019E-09
592.879257,1.0491E-09
593.1888545,1.048E-09
593.498452,1.04691E-09
593.8080495,1.04582E-09
594.1176471,1.04473E-09
594.4272446,1.04364E-09
594.7368421,1.04256E-09
595.0464396,1.04147E-09
595.3560372,1.04039E-09
595.6656347,1.03931E-09
595.9752322,1.03823E-09
596.2848297,1.03715E-09
596.5944272,1.03607E-09
596.9040248,1.035E-09
597.2136223,1.03393E-09
597.5232198,1.03285E-09
597.8328173,1.03178E-09
598.1424149,1.03072E-09
598.4520124,1.02965E-09
598.7616099,1.02859E-09
599.0712074,1.02752E-09
599.380805,1.02646E-09
599.6904025,1.0254E-09
600,1.02434E-09
600.3095975,1.02329E-09
600.619195,1.02223E-09
600.9287926,1.02118E-09
601.2383901,1.02013E-09
601.5479876,1.01908E-09
601.8575851,1.01803E-09
602.1671827,1.01698E-09
602.4767802,1.01594E-09
602.7863777,1.0149E-09
603.0959752,1.01385E-09
603.4055728,1.01281E-09
603.7151703,1.01178E-09
604.0247678,1.01074E-09
604.3343653,1.0097E-09
604.6439628,1.00867E-09
604.9535604,1.00764E-09
605.2631579,1.00661E-09
605.5727554,1.00558E-09
605.8823529,1.00455E-09
606.1919505,1.00353E-09
606.501548,1.0025E-09
606.8111455,1.00148E-09
607.120743,1.00046E-09
607.4303406,9.99438E-10
607.7399381,9.9842E-10
608.0495356,9.97403E-10
608.3591331,9.96388E-10
608.6687307,9.95375E-10
608.9783282,9.94363E-10
609.2879257,9.93353E-10
609.5975232,9.92344E-10
609.9071207,9.91337E-10
610.2167183,9.90331E-10
610.5263158,9.89327E-10
610.8359133,9.88325E-10
611.1455108,9.87323E-10
611.4551084,9.86324E-10
611.7647059,9.85326E-10
612.0743034,9.84329E-10
612.3839009,9.83334E-10
612.6934985,9.82341E-10
613.003096,9.81349E-10
613.3126935,9.80358E-10
613.622291,9.79369E-10
613.9318885,9.78382E-10
614.2414861,9.77396E-10
614.5510836,9.76411E-10
614.8606811,9.75428E-10
615.1702786,9.74447E-10
615.4798762,9.73466E-10
615.7894737,9.72488E-10
616.0990712,9.71511E-10
616.4086687,9.70535E-10
616.7182663,9.69561E-10
617.0278638,9.68588E-10
617.3374613,9.67617E-10
617.6470588,9.66647E-10
617.9566563,9.65679E-10
618.2662539,9.64712E-10
618.5758514,9.63746E-10
618.8854489,9.62782E-10
619.1950464,9.6182E-10
619.504644,9.60859E-10
619.8142415,9.59899E-10
620.123839,9.58941E-10
620.4334365,9.57984E-10
620.7430341,9.57029E-10
621.0526316,9.56075E-10
621.3622291,9.55122E-10
621.6718266,9.54171E-10
621.9814241,9.53222E-10
622.2910217,9.52273E-10
622.6006192,9.51327E-10
622.9102167,9.50381E-10
623.2198142,9.49437E-10
623.5294118,9.48494E-10
623.8390093,9.47553E-10
624.1486068,9.46613E-10
624.4582043,9.45675E-10
624.7678019,9.44738E-10
625.0773994,9.43802E-10
625.3869969,9.42868E-10
625.6965944,9.41935E-10
626.006192,9.41004E-10
626.3157895,9.40074E-10
626.625387,9.39145E-10
626.9349845,9.38218E-10
627.244582,9.37292E-10
627.5541796,9.36367E-10
627.8637771,9.35444E-10
628.1733746,9.34522E-10
628.4829721,9.33602E-10
628.7925697,9.32683E-10
629.1021672,9.31765E-10
629.4117647,9.30848E-10
629.7213622,9.29933E-10
630.0309598,9.2902E-10
630.3405573,9.28107E-10
630.6501548,9.27196E-10
630.9597523,9.26287E-10
631.2693498,9.25378E-10
631.5789474,9.24471E-10
631.8885449,9.23566E-10
632.1981424,9.22661E-10
632.5077399,9.21758E-10
632.8173375,9.20857E-10
633.126935,9.19956E-10
633.4365325,9.19057E-10
633.74613,9.18159E-10
634.0557276,9.17263E-10
634.3653251,9.16368E-10
634.6749226,9.15474E-10
634.9845201,9.14582E-10
635.2941176,9.1369E-10
635.6037152,9.128E-10
635.9133127,9.11912E-10
636.2229102,9.11025E-10
636.5325077,9.10139E-10
636.8421053,9.09254E-10
637.1517028,9.0837E-10
637.4613003,9.07488E-10
637.7708978,9.06607E-10
638.0804954,9.05728E-10
638.3900929,9.0485E-10
638.6996904,9.03973E-10
639.0092879,9.03097E-10
639.3188854,9.02222E-10
639.628483,9.01349E-10
639.9380805,9.00477E-10
640.247678,8.99607E-10
640.5572755,8.98737E-10
640.8668731,8.97869E-10
641.1764706,8.97002E-10
641.4860681,8.96137E-10
641.7956656,8.95272E-10
642.1052632,8.94409E-10
642.4148607,8.93547E-10
642.7244582,8.92687E-10
643.0340557,8.91827E-10
643.3436533,8.90969E-10
643.6532508,8.90112E-10
643.9628483,8.89257E-10
644.2724458,8.88402E-10
644.5820433,8.87549E-10
644.8916409,8.86697E-10
645.2012384,8.85846E-10
645.5108359,8.84997E-10
645.8204334,8.84148E-10
646.130031,8.83301E-10
646.4396285,8.82455E-10
646.749226,8.81611E-10
647.0588235,8.80767E-10
647.3684211,8.79925E-10
647.6780186,8.79084E-10
647.9876161,8.78244E-10
648.2972136,8.77406E-10
648.6068111,8.76568E-10
648.9164087,8.75732E-10
649.2260062,8.74897E-10
649.5356037,8.74063E-10
649.8452012,8.7323E-10
650.1547988,8.72399E-10
650.4643963,8.71569E-10
650.7739938,8.7074E-10
651.0835913,8.69912E-10
651.3931889,8.69085E-10
651.7027864,8.6826E-10
652.0123839,8.67435E-10
652.3219814,8.66612E-10
652.6315789,8.6579E-10
652.9411765,8.64969E-10
653.250774,8.64149E-10
653.5603715,8.63331E-10
653.869969,8.62514E-10
654.1795666,8.61697E-10
654.4891641,8.60882E-10
654.7987616,8.60068E-10
655.1083591,8.59256E-10
655.4179567,8.58444E-10
655.7275542,8.57634E-10
656.0371517,8.56824E-10
656.3467492,8.56016E-10
656.6563467,8.55209E-10
656.9659443,8.54403E-10
657.2755418,8.53599E-10
657.5851393,8.52795E-10
657.8947368,8.51993E-10
658.2043344,8.51191E-10
658.5139319,8.50391E-10
658.8235294,8.49592E-10
659.1331269,8.48794E-10
659.4427245,8.47997E-10
659.752322,8.47202E-10
660.0619195,8.46407E-10
660.371517,8.45614E-10
660.6811146,8.44821E-10
660.9907121,8.4403E-10
661.3003096,8.4324E-10
661.6099071,8.42451E-10
661.9195046,8.41663E-10
662.2291022,8.40876E-10
662.5386997,8.40091E-10
662.8482972,8.39306E-10
663.1578947,8.38523E-10
663.4674923,8.3774E-10
663.7770898,8.36959E-10
664.0866873,8.36179E-10
664.3962848,8.354E-10
664.7058824,8.34622E-10
665.0154799,8.33845E-10
665.3250774,8.33069E-10
665.6346749,8.32294E-10
665.9442724,8.3152E-10
666.25387,8.30748E-10
666.5634675,8.29976E-10
666.873065,8.29206E-10
667.1826625,8.28436E-10
667.4922601,8.27668E-10
667.8018576,8.26901E-10
668.1114551,8.26135E-10
668.4210526,8.2537E-10
668.7306502,8.24606E-10
669.0402477,8.23843E-10
669.3498452,8.23081E-10
669.6594427,8.2232E-10
669.9690402,8.2156E-10
670.2786378,8.20801E-10
670.5882353,8.20043E-10
670.8978328,8.19287E-10
671.2074303,8.18531E-10
671.5170279,8.17777E-10
671.8266254,8.17023E-10
672.1362229,8.1627E-10
672.4458204,8.15519E-10
672.755418,8.14769E-10
673.0650155,8.14019E-10
673.374613,8.13271E-10
673.6842105,8.12524E-10
673.993808,8.11777E-10
674.3034056,8.11032E-10
674.6130031,8.10288E-10
674.9226006,8.09545E-10
675.2321981,8.08802E-10
675.5417957,8.08061E-10
675.8513932,8.07321E-10
676.1609907,8.06582E-10
676.4705882,8.05844E-10
676.7801858,8.05107E-10
677.0897833,8.04371E-10
677.3993808,8.03635E-10
677.7089783,8.02901E-10
678.0185759,8.02168E-10
678.3281734,8.01436E-10
678.6377709,8.00705E-10
678.9473684,7.99975E-10
679.2569659,7.99246E-10
679.5665635,7.98518E-10
679.876161,7.97791E-10
680.1857585,7.97065E-10
680.495356,7.9634E-10
680.8049536,7.95616E-10
681.1145511,7.94892E-10
681.4241486,7.9417E-10
681.7337461,7.93449E-10
682.0433437,7.92729E-10
682.3529412,7.9201E-10
682.6625387,7.91292E-10
682.9721362,7.90574E-10
683.2817337,7.89858E-10
683.5913313,7.89143E-10
683.9009288,7.88428E-10
684.2105263,7.87715E-10
684.5201238,7.87003E-10
684.8297214,7.86291E-10
685.1393189,7.85581E-10
685.4489164,7.84871E-10
685.7585139,7.84163E-10
686.0681115,7.83455E-10
686.377709,7.82749E-10
686.6873065,7.82043E-10
686.996904,7.81338E-10
687.3065015,7.80635E-10
687.6160991,7.79932E-10
687.9256966,7.7923E-10
688.2352941,7.78529E-10
688.5448916,7.77829E-10
688.8544892,7.7713E-10
689.1640867,7.76432E-10
689.4736842,7.75735E-10
689.7832817,7.75039E-10
690.0928793,7.74343E-10
690.4024768,7.73649E-10
690.7120743,7.72956E-10
691.0216718,7.72263E-10
691.3312693,7.71572E-10
691.6408669,7.70881E-10
691.9504644,7.70191E-10
692.2600619,7.69503E-10
692.5696594,7.68815E-10
692.879257,7.68128E-10
693.1888545,7.67442E-10
693.498452,7.66757E-10
693.8080495,7.66073E-10
694.1176471,7.6539E-10
694.4272446,7.64707E-10
694.7368421,7.64026E-10
695.0464396,7.63345E-10
695.3560372,7.62666E-10
695.6656347,7.61987E-10
695.9752322,7.61309E-10
696.2848297,7.60632E-10
696.5944272,7.59956E-10
696.9040248,7.59281E-10
697.2136223,7.58607E-10
697.5232198,7.57934E-10
697.8328173,7.57262E-10
698.1424149,7.5659E-10
698.4520124,7.5592E-10
698.7616099,7.5525E-10
699.0712074,7.54581E-10
699.380805,7.53913E-10
699.6904025,7.53246E-10
700,7.5258E-10
700.3095975,7.51915E-10
700.619195,7.5125E-10
700.9287926,7.50587E-10
701.2383901,7.49924E-10
701.5479876,7.49262E-10
701.8575851,7.48602E-10
702.1671827,7.47942E-10
702.4767802,7.47282E-10
702.7863777,7.46624E-10
703.0959752,7.45967E-10
703.4055728,7.4531E-10
703.7151703,7.44655E-10
704.0247678,7.44E-10
704.3343653,7.43346E-10
704.6439628,7.42693E-10
704.9535604,7.42041E-10
705.2631579,7.41389E-10
705.5727554,7.40739E-10
705.8823529,7.40089E-10
706.1919505,7.3944E-10
706.501548,7.38792E-10
706.8111455,7.38145E-10
707.120743,7.37499E-10
707.4303406,7.36854E-10
707.7399381,7.36209E-10
708.0495356,7.35566E-10
708.3591331,7.34923E-10
708.6687307,7.34281E-10
708.9783282,7.3364E-10
709.2879257,7.32999E-10
709.5975232,7.3236E-10
709.9071207,7.31721E-10
710.2167183,7.31083E-10
710.5263158,7.30446E-10
710.8359133,7.2981E-10
711.1455108,7.29175E-10
711.4551084,7.2854E-10
711.7647059,7.27907E-10
712.0743034,7.27274E-10
712.3839009,7.26642E-10
712.6934985,7.26011E-10
713.003096,7.2538E-10
713.3126935,7.24751E-10
713.622291,7.24122E-10
713.9318885,7.23494E-10
714.2414861,7.22867E-10
714.5510836,7.22241E-10
714.8606811,7.21616E-10
715.1702786,7.20991E-10
715.4798762,7.20367E-10
715.7894737,7.19744E-10
716.0990712,7.19122E-10
716.4086687,7.185E-10
716.7182663,7.1788E-10
717.0278638,7.1726E-10
717.3374613,7.16641E-10
717.6470588,7.16023E-10
717.9566563,7.15405E-10
718.2662539,7.14789E-10
718.5758514,7.14173E-10
718.8854489,7.13558E-10
719.1950464,7.12944E-10
719.504644,7.1233E-10
719.8142415,7.11718E-10
720.123839,7.11106E-10
720.4334365,7.10495E-10
720.7430341,7.09885E-10
721.0526316,7.09275E-10
721.3622291,7.08666E-10
721.6718266,7.08059E-10
721.9814241,7.07451E-10
722.2910217,7.06845E-10
722.6006192,7.0624E-10
722.9102167,7.05635E-10
723.2198142,7.05031E-10
723.5294118,7.04428E-10
723.8390093,7.03825E-10
724.1486068,7.03223E-10
724.4582043,7.02622E-10
724.7678019,7.02022E-10
725.0773994,7.01423E-10
725.3869969,7.00824E-10
725.6965944,7.00226E-10
726.006192,6.99629E-10
726.3157895,6.99033E-10
726.625387,6.98438E-10
726.9349845,6.97843E-10
727.244582,6.97249E-10
727.5541796,6.96655E-10
727.8637771,6.96063E-10
728.1733746,6.95471E-10
728.4829721,6.9488E-10
728.7925697,6.9429E-10
729.1021672,6.937E-10
729.4117647,6.93112E-10
729.7213622,6.92524E-10
730.0309598,6.91936E-10
730.3405573,6.9135E-10
730.6501548,6.90764E-10
730.9597523,6.90179E-10
731.2693498,6.89595E-10
731.5789474,6.89011E-10
731.8885449,6.88428E-10
732.1981424,6.87846E-10
732.5077399,6.87265E-10
732.8173375,6.86684E-10
733.126935,6.86105E-10
733.4365325,6.85526E-10
733.74613,6.84947E-10
734.0557276,6.84369E-10
734.3653251,6.83793E-10
734.6749226,6.83216E-10
734.9845201,6.82641E-10
735.2941176,6.82066E-10
735.6037152,6.81492E-10
735.9133127,6.80919E-10
736.2229102,6.80346E-10
736.5325077,6.79774E-10
736.8421053,6.79203E-10
737.1517028,6.78633E-10
737.4613003,6.78063E-10
737.7708978,6.77494E-10
738.0804954,6.76926E-10
738.3900929,6.76359E-10
738.6996904,6.75792E-10
739.0092879,6.75226E-10
739.3188854,6.7466E-10
739.628483,6.74096E-10
739.9380805,6.73532E-10
740.247678,6.72968E-10
740.5572755,6.72406E-10
740.8668731,6.71844E-10
741.1764706,6.71283E-10
741.4860681,6.70722E-10
741.7956656,6.70162E-10
742.1052632,6.69603E-10
742.4148607,6.69045E-10
742.7244582,6.68487E-10
743.0340557,6.6793E-10
743.3436533,6.67374E-10
743.6532508,6.66819E-10
743.9628483,6.66264E-10
744.2724458,6.6571E-10
744.5820433,6.65156E-10
744.8916409,6.64603E-10
745.2012384,6.64051E-10
745.5108359,6.635E-10
745.8204334,6.62949E-10
746.130031,6.62399E-10
746.4396285,6.6185E-10
746.749226,6.61301E-10
747.0588235,6.60753E-10
747.3684211,6.60206E-10
747.6780186,6.59659E-10
747.9876161,6.59113E-10
748.2972136,6.58568E-10
748.6068111,6.58023E-10
748.9164087,6.57479E-10
749.2260062,6.56936E-10
749.5356037,6.56393E-10
749.8452012,6.55851E-10
750.1547988,6.5531E-10
750.4643963,6.5477E-10
750.7739938,6.5423E-10
751.0835913,6.5369E-10
751.3931889,6.53152E-10
751.7027864,6.52614E-10
752.0123839,6.52077E-10
752.3219814,6.5154E-10
752.6315789,6.51004E-10
752.9411765,6.50469E-10
753.250774,6.49934E-10
753.5603715,6.494E-10
753.869969,6.48867E-10
754.1795666,6.48335E-10
754.4891641,6.47803E-10
754.7987616,6.47271E-10
755.1083591,6.46741E-10
755.4179567,6.46211E-10
755.7275542,6.45681E-10
756.0371517,6.45153E-10
756.3467492,6.44625E-10
756.6563467,6.44097E-10
756.9659443,6.4357E-10
757.2755418,6.43044E-10
757.5851393,6.42519E-10
757.8947368,6.41994E-10
